,sentinel,landsat
0,2019-04-01 16:02:26.355,2019-04-06 15:45:34.134
1,2019-04-06 16:02:24.988,2019-05-24 15:45:42.929
2,2019-06-30 16:02:32.431,2019-07-27 15:46:04.395
3,2019-07-15 16:02:29.025,2019-08-12 15:46:10.410
4,2019-07-25 16:02:28.804,2019-10-15 15:46:26.655
5,2019-07-30 16:02:31.913,2019-11-16 15:46:23.645
6,2019-08-19 16:02:29.542,2021-09-02 15:46:17.241
7,2019-08-29 16:02:27.738,2021-06-30 15:45:56.799
8,2019-09-03 16:02:23.861,
9,2019-09-08 16:02:22.198,
10,2019-10-18 16:02:25.064,
11,2019-10-23 16:02:27.131,
12,2019-10-28 16:02:24.709,
13,2019-11-02 16:02:26.909,
14,2018-05-01 15:53:19.990,
15,2018-05-26 15:52:58.100,
