,sentinel,landsat
0,2018-04-05 15:36:21.710,2016-04-24 15:26:13.317
1,2018-04-23 15:43:31.430,2016-06-27 15:26:31.727
2,2018-04-28 15:48:34.880,2016-07-13 15:26:39.450
3,2018-05-08 15:49:47.040,2016-08-14 15:26:46.402
4,2018-05-25 15:38:33.590,2016-10-17 15:27:03.092
5,2018-05-30 15:35:53.450,2016-09-05 15:26:17.624
6,2018-06-12 15:49:19.500,2016-09-21 15:26:21.897
7,2018-06-14 15:39:24.710,2016-05-06 15:26:08.108
8,2018-06-17 15:40:39.250,2016-05-22 15:26:09.309
9,2018-06-19 15:35:55.460,2020-11-29 15:27:03.693
10,2018-06-29 15:36:53.180,
11,2018-07-02 15:45:44.040,
12,2018-07-07 15:44:24.930,
13,2018-07-09 15:35:55.460,
14,2018-07-12 15:41:02.630,
15,2018-07-19 15:40:32.250,
16,2018-08-16 15:40:06.790,
17,2018-08-26 15:43:49.470,
18,2018-08-28 15:35:47.460,
19,2018-09-02 15:39:09.270,
20,2018-09-05 15:43:59.290,
21,2018-09-30 15:43:07.590,
22,2018-10-10 15:42:47.450,
23,2018-10-17 15:35:53.450,
24,2018-11-04 15:50:50.090,
25,2018-11-11 15:41:24.220,
