,Unnamed: 0,sentinel,landsat,sentinel_new
0,0,2019-04-03 15:51:48.442,2019-04-24 15:32:41.109,2019-04-03 15:51:51.773
1,1,2019-04-03 15:51:51.773,2019-05-26 15:32:58.464,2019-04-06 16:01:48.386
2,2,2019-04-06 16:01:42.665,2019-06-27 15:33:10.939,2019-04-16 16:01:49.804
3,3,2019-04-06 16:01:48.386,2019-07-04 15:39:23.419,2019-04-23 15:51:54.256
4,4,2019-04-16 16:01:44.060,2019-07-29 15:33:19.739,2019-05-11 16:01:54.559
5,5,2019-04-16 16:01:49.804,2019-08-30 15:33:29.318,2019-05-26 16:01:50.298
6,6,2019-04-23 15:51:54.256,2019-09-15 15:33:34.255,2019-06-22 15:51:55.105
7,7,2019-05-11 16:01:49.821,2019-09-22 15:39:47.400,2019-06-27 15:51:59.418
8,8,2019-05-11 16:01:54.559,2019-10-24 15:39:52.266,2019-07-15 16:01:52.413
9,9,2019-05-21 16:01:50.028,2019-11-02 15:33:40.873,2019-07-25 16:01:52.189
10,10,2019-05-26 16:01:44.586,2017-04-02 15:32:51.579,2019-07-30 16:01:55.301
11,11,2019-05-26 16:01:50.298,2017-04-09 15:38:59.009,2019-08-04 16:01:51.594
12,12,2019-06-22 15:51:51.770,2017-04-18 15:32:42.895,2019-08-19 16:01:52.931
13,13,2019-06-22 15:51:55.105,2017-05-04 15:32:35.274,2019-08-26 15:51:55.456
14,14,2019-06-27 15:51:56.080,,2019-08-29 16:01:51.135
15,15,2019-06-27 15:51:59.418,,2019-09-03 16:01:47.255
16,16,2019-07-15 16:01:46.578,,2019-10-05 15:51:51.820
17,17,2019-07-15 16:01:52.413,,2019-10-15 15:51:52.223
18,18,2019-07-25 16:01:46.332,,2019-10-23 16:01:50.503
19,19,2019-07-25 16:01:52.189,,2019-11-02 16:01:50.285
20,20,2019-07-30 16:01:49.476,,2019-11-04 15:51:51.199
21,21,2019-07-30 16:01:55.301,,
22,22,2019-08-04 16:01:45.730,,
23,23,2019-08-04 16:01:51.594,,
24,24,2019-08-11 15:51:51.322,,
25,25,2019-08-19 16:01:47.137,,
26,26,2019-08-19 16:01:52.931,,
27,27,2019-08-26 15:51:55.456,,
28,28,2019-08-29 16:01:45.375,,
29,29,2019-08-29 16:01:51.135,,
30,30,2019-09-03 16:01:41.419,,
31,31,2019-09-03 16:01:47.255,,
32,32,2019-09-25 15:51:47.574,,
33,33,2019-09-28 16:01:41.875,,
34,34,2019-10-05 15:51:48.491,,
35,35,2019-10-05 15:51:51.820,,
36,36,2019-10-15 15:51:48.893,,
37,37,2019-10-15 15:51:52.223,,
38,38,2019-10-23 16:01:50.503,,
39,39,2019-11-02 16:01:44.417,,
40,40,2019-11-02 16:01:50.285,,
41,41,2019-11-04 15:51:47.867,,
42,42,2019-11-04 15:51:51.199,,
