,sentinel,landsat
0,2019-04-03 15:51:51.773,2017-04-02 15:32:51.579
1,2019-04-06 16:01:48.386,2017-04-09 15:38:59.009
2,2019-04-16 16:01:49.804,2017-04-18 15:32:42.895
3,2019-04-23 15:51:54.256,2017-05-04 15:32:35.274
4,2019-05-11 16:01:54.559,2017-06-12 15:39:09.786
5,2019-05-26 16:01:50.298,2017-07-30 15:39:25.595
6,2019-06-22 15:51:55.105,2017-08-24 15:33:22.781
7,2019-06-27 15:51:59.418,2017-09-25 15:33:29.507
8,2019-07-15 16:01:52.413,2017-10-02 15:39:43.010
9,2019-07-25 16:01:52.189,2017-10-18 15:39:46.367
10,2019-07-30 16:01:55.301,2017-10-27 15:33:35.826
11,2019-08-04 16:01:51.594,2016-11-16 15:39:48.713
12,2019-08-19 16:01:52.931,
13,2019-08-26 15:51:55.456,
14,2019-08-29 16:01:51.135,
15,2019-09-03 16:01:47.255,
16,2019-10-05 15:51:51.820,
17,2019-10-15 15:51:52.223,
18,2019-10-23 16:01:50.503,
19,2019-11-02 16:01:50.285,
20,2019-11-04 15:51:51.199,
