,sentinel,landsat
0,2019-04-01 16:02:04.021,2016-04-06 15:39:30.387
1,2019-04-03 15:52:06.364,2016-04-15 15:33:16.555
2,2019-04-06 16:02:02.654,2016-06-09 15:39:33.631
3,2019-04-16 16:02:04.074,2016-06-18 15:33:24.677
4,2019-04-23 15:52:08.839,2016-07-20 15:33:40.312
5,2019-05-06 16:02:05.381,2016-08-12 15:39:54.709
6,2019-05-18 15:52:12.993,2016-08-28 15:40:02.206
7,2019-05-26 16:02:04.564,2016-09-22 15:33:55.627
8,2019-06-22 15:52:09.694,2016-10-15 15:40:12.123
9,2019-07-15 16:02:06.682,2016-10-31 15:40:13.288
10,2019-07-20 16:02:10.168,2016-11-16 15:40:12.600
11,2019-07-22 15:52:10.661,2017-05-04 15:32:59.165
12,2019-07-25 16:02:06.457,
13,2019-07-30 16:02:09.571,
14,2019-08-01 15:52:10.178,
15,2019-08-11 15:52:09.243,
16,2019-08-24 16:02:03.364,
17,2019-08-29 16:02:05.408,
18,2019-09-03 16:02:01.521,
19,2019-09-25 15:52:05.500,
20,2019-10-15 15:52:06.816,
21,2019-10-23 16:02:04.782,
22,2019-11-04 15:52:05.791,
